sample,number_of_regions,total_characters,region_perc,characters_perc
Allantoma_decandra,10,26088,1.0,1.0
Allantoma_lineata,10,26088,1.0,1.0
Barringtonia_edulis,10,26088,1.0,1.0
Bertholletia_excelsa,10,26088,1.0,1.0
Cariniana_estrellensis,10,26088,1.0,1.0
Corythophora_amapaensis,10,26088,1.0,1.0
Corythophora_labriculata,10,26088,1.0,1.0
Couratari_macrosperma,10,26088,1.0,1.0
Couratari_stellata,10,26088,1.0,1.0
Couroupita_guianensis,10,26088,1.0,1.0
Eschweilera_alata,10,26088,1.0,1.0
Eschweilera_caudiculata,10,26088,1.0,1.0
Eschweilera_integrifolia,10,26088,1.0,1.0
Eschweilera_micrantha,10,26088,1.0,1.0
Eschweilera_pittieri,10,26088,1.0,1.0
Eschweilera_wachenheimii,10,26088,1.0,1.0
Eschweliera_congestiflora,10,26088,1.0,1.0
Grias_cauliflora,10,26088,1.0,1.0
Gustavia_augusta,10,26088,1.0,1.0
Gustavia_speciosa,10,26088,1.0,1.0
Lecythis_ampla,10,26088,1.0,1.0
Lecythis_corrugata,10,25906,1.0,0.9930236123888377
Lecythis_minor,10,26088,1.0,1.0
Lecythis_pneumatophora,10,26088,1.0,1.0
